Z Right -1 -12 0 110 10857 10857
D Space -2 -1 140 156 94 -46
Space A 2 3 156 125 405 249
A L 0 -8 125 94 203 78
L L 0 0 94 125 156 62
L Space -2 5 125 140 78 -47
Space M 1 -3 140 125 218 78
M Y 2 1 125 171 375 250
Y Space -3 2 171 141 93 -78
Space W 3 2 141 140 328 187
W O 0 -7 140 140 156 16
O R 0 5 140 156 172 32
R K -1 -4 156 93 234 78
K I 1 0 93 109 171 78
I N -2 2 109 125 187 78
N G 1 1 125 156 47 -78
G OemMinus 2 -6 156 156 2091 1935
OemMinus C -3 8 156 141 249 93
C L 1 -6 141 125 203 62
L A 0 8 125 187 94 -31
A S 0 -1 187 110 202 15
S S 0 0 110 187 188 78
S Space -2 -2 187 156 202 15
Space P 3 -6 156 156 624 468
P A -1 9 156 140 110 -46
A R 1 -3 140 187 187 47
R E 0 1 187 172 62 -125
E N -2 -3 172 109 2013 1841
N T 2 1 109 172 202 93
T S -1 3 172 187 344 172
S Oem7 0 -9 187 109 421 234
Oem7 Space -2 7 109 140 1763 1654
Space S 2 2 140 187 187 47
S A 0 1 187 140 109 -78
A V -1 -3 140 156 437 297
V I 2 -4 156 109 187 31
I N -2 2 109 125 203 94
N G 1 1 125 141 171 46
G S 0 3 141 125 297 156
S Space -2 -2 125 125 140 15
Space W 3 2 125 203 203 78
W E 0 -1 203 172 109 -94
E R 0 -1 172 125 265 93
R E 0 1 125 141 47 -78
E Space -3 -1 141 156 733 592
Space B 1 -1 156 140 874 718
B E 2 2 140 140 234 94
E I 0 -5 140 110 218 78
I N -2 2 110 156 219 109
N G 1 1 156 156 187 31
G Space -2 1 156 141 140 -16
Space S 2 2 141 156 219 78
S P 1 -8 156 124 281 125
P E 0 7 124 171 109 -15
E N -2 -3 171 124 281 110
N T 2 1 124 124 156 32
T Space -3 1 124 94 140 16
Space O 3 -5 94 109 203 109
O P 0 -1 109 47 15 -94
P N -2 4 47 78 640 593
N Back 3 -7 78 109 1591 1513
Back Back 0 0 109 125 172 63
Back M -3 6 125 156 733 608
M Space -1 3 156 124 94 -62
Space Back 4 -9 124 63 670 546
Back Back 0 0 63 125 141 78
Back N -3 7 125 93 468 343
N Space -1 2 93 109 125 32
Space M 1 -3 109 141 249 140
M Y 2 1 141 156 312 171
Y Space -3 2 156 125 94 -62
Space C 1 1 125 156 702 577
C O 2 -6 156 125 265 109
O L -1 0 125 78 218 93
L L 0 0 78 125 141 63
L E 1 6 125 171 125 0
E G -1 -2 171 187 218 47
G E 1 2 187 156 78 -109
E Space -3 -1 156 156 1903 1747
Space T 3 -1 156 156 281 125
T U 0 -2 156 109 203 47
U I 0 -1 109 125 187 78
I T 0 3 125 140 156 31
T I 0 -3 140 156 140 0
I O 0 -1 156 141 78 -78
O M -2 2 141 93 344 203
M Back 3 -6 93 140 780 687
Back N -3 7 140 109 312 172
N OemPeriod 0 -3 109 125 405 296
OemPeriod LShiftKey 0 9 125 437 3791 3666
LShiftKey Space -1 -4 437 156 31 -406
Space A 2 3 156 187 219 63
A F 0 -3 187 156 156 -31
F T 1 -1 156 141 249 93
T E 0 2 141 156 78 -63
E R 0 -1 156 140 203 47
R Space -3 0 140 156 203 63
Space S 2 2 156 172 327 171
S I 1 -6 172 141 203 31
I X -2 6 141 188 187 46
X Space -1 -2 188 156 203 15
Space M 1 -3 156 218 250 94
M O 2 -2 218 156 125 -93
O N -2 3 156 171 234 78
N T 2 1 171 156 280 109
T H -1 -1 156 124 188 32
H S 0 4 124 125 93 -31
S Oemcomma -1 -6 125 125 4212 4087
Oemcomma Space -1 4 125 140 1077 952
Space LShiftKey 1 4 140 265 15 -125
LShiftKey I 2 -8 265 171 141 -124
I Space -3 4 171 140 109 -62
Space C 1 1 140 156 234 94
C O 2 -6 156 109 109 -47
O U 0 2 109 94 187 78
U L -1 -2 94 156 172 78
L D 0 6 156 140 156 0
D N -1 -3 140 140 234 94
N Oem7 1 -5 140 93 780 640
Oem7 T 1 6 93 140 78 -15
T Space -3 1 140 218 359 219
Space S 2 2 218 187 249 31
S E 1 -1 187 140 125 -62
E E 0 0 140 171 203 63
E Space -3 -1 171 140 156 -15
Space T 3 -1 140 140 109 -31
T H -1 -1 140 141 109 -31
H E 1 3 141 140 125 -16
E Space -3 -1 140 156 125 -15
Space V 1 0 156 172 421 265
V A 1 3 172 140 94 -78
A L 0 -8 140 109 327 187
L U 1 2 109 125 203 94
U E 0 4 125 141 265 140
E Space -3 -1 141 141 109 -32
Space I 3 -4 141 109 172 31
I N -2 2 109 172 218 109
N Space -1 2 172 125 94 -78
Space I 3 -4 125 124 250 125
I T 0 3 124 125 124 0
T OemPeriod -2 -4 125 109 515 390
OemPeriod Space -1 5 109 156 2980 2871
Space LShiftKey 1 4 156 312 31 -125
LShiftKey I 2 -8 312 140 203 -109
I Space -3 4 140 124 203 63
Space H 2 -2 124 125 249 125
H A 0 5 125 172 78 -47
A D 0 -2 172 156 156 -16
D Space -2 -1 156 124 141 -15
Space N 1 -2 124 188 748 624
N O 2 -3 188 156 94 -94
O Space -3 5 156 140 94 -62
Space I 3 -4 140 125 374 234
I O 0 -1 125 93 16 -109
O Back 1 -4 93 156 920 827
Back D -2 10 156 219 577 421
D E 1 0 219 156 141 -78
E A -1 2 156 141 249 93
A Space -2 -3 141 156 172 31
Space W 3 2 156 156 187 31
W H -1 -4 156 109 172 16
H A 0 5 109 156 46 -63
A T 1 -4 156 141 203 47
T Space -3 1 141 156 125 -16
Space LShiftKey 1 4 156 172 156 0
LShiftKey I 2 -8 172 203 78 -94
I Space -3 4 203 140 125 -78
Space W 3 2 140 219 171 31
W A -1 1 219 171 110 -109
A N -1 -5 171 141 280 109
N T 2 1 141 172 125 -16
T E 0 2 172 156 78 -94
E D -1 0 156 140 250 94
D Space -2 -1 140 172 140 0
Space T 3 -1 172 140 203 31
T O 0 -4 140 171 125 -15
O Space -3 5 171 172 93 -78
Space D 2 1 172 141 827 655
D O 1 -6 141 172 125 -16
O Space -3 5 172 156 94 -78
Space I 3 -4 156 156 202 46
I N -2 2 156 156 609 453
N Space -1 2 156 125 93 -63
Space M 1 -3 125 124 188 63
M Y 2 1 124 124 234 110
Y Space -3 2 124 140 62 -62
Space L 2 -5 140 110 218 78
L I 1 1 110 140 188 78
I F -1 4 140 187 265 125
F E 1 1 187 141 93 -94
E Space -3 -1 141 156 5663 5522
Space A 2 3 156 172 125 -31
A N -1 -5 172 125 125 -47
N D 1 3 125 109 125 0
D Space -2 -1 109 140 78 -31
Space N 1 -2 140 312 187 47
N O 2 -3 312 234 171 -141
O Space -3 5 234 156 156 -78
Space I 3 -4 156 156 312 156
I D -1 5 156 187 141 -15
D E 1 0 187 156 78 -109
E A -1 2 156 140 234 78
A Space -2 -3 140 187 203 63
Space H 2 -2 187 187 249 62
H O 1 -3 187 140 94 -93
O W 0 7 140 156 78 -62
W Space -3 -2 156 156 234 78
Space C 1 1 156 156 296 140
C O 2 -6 156 125 203 47
O L -1 0 125 93 203 78
L L 0 0 93 125 156 63
L E 1 6 125 171 78 -47
E G -1 -2 171 172 171 0
G E 1 2 172 172 94 -78
E Space -3 -1 172 156 577 405
Space W 3 2 156 171 141 -15
W A -1 1 171 172 62 -109
A S 0 -1 172 125 234 62
S Space -2 -2 125 187 109 -16
Space G 2 -1 187 141 421 234
G O 1 -4 141 140 172 31
O I 0 1 140 93 203 63
I N -2 2 93 109 187 94
N G 1 1 109 156 78 -31
G Space -2 1 156 156 125 -31
Space T 3 -1 156 109 156 0
T O 0 -4 109 187 78 -31
O Space -3 5 187 156 109 -78
Space H 2 -2 156 125 1295 1139
H E 1 3 125 156 140 15
E L -1 -6 156 124 219 63
L P 1 -1 124 188 202 78
P Space -3 6 188 140 110 -78
Space M 1 -3 140 141 202 62
M E 2 4 141 140 141 0
E Space -3 -1 140 156 125 -15
Space F 2 0 156 140 468 312
F I 1 -4 140 156 265 125
I G -1 3 156 156 249 93
G U 1 -2 156 140 188 32
U R 0 3 140 172 124 -16
R E 0 1 172 125 94 -78
E Space -3 -1 125 156 281 156
Space O 3 -5 156 62 265 109
O Back 1 -4 62 140 1966 1904
Back I -1 5 140 125 436 296
I T 0 3 125 140 188 63
T Space -3 1 140 187 109 -31
Space O 3 -5 187 125 171 -16
O U 0 2 125 141 203 78
U T 0 2 141 125 94 -47
T Oemcomma -2 -3 125 31 4040 3915
Oemcomma OemPeriod 0 -1 31 109 437 406
OemPeriod Space -1 5 109 141 218 109
Space LShiftKey 1 4 141 452 94 -47
LShiftKey Back 3 -13 452 125 577 125
Back Back 0 0 125 109 172 47
Back Back 0 0 109 125 171 62
Back OemPeriod -3 4 125 141 624 499
OemPeriod LShiftKey 0 9 141 624 172 31
LShiftKey Space -1 -4 624 203 187 -437
Space A 2 3 203 188 265 62
A N -1 -5 188 172 203 15
N D 1 3 172 156 156 -16
D Space -2 -1 156 156 203 47
Space H 2 -2 156 141 218 62
H E 1 3 141 156 94 -47
E R 0 -1 156 187 109 -47
R E 0 1 187 156 125 -62
E Space -3 -1 156 140 234 78
Space LShiftKey 1 4 140 281 374 234
LShiftKey I 2 -8 281 172 172 -109
I Space -3 4 172 156 156 -16
Space W 3 2 156 203 187 31
W A -1 1 203 188 109 -94
A S 0 -1 188 171 266 78
S Space -2 -2 171 156 624 453
Space S 2 2 156 156 374 218
S P 1 -8 156 141 234 78
P E 0 7 141 156 156 15
E N -2 -3 156 156 375 219
N D 1 3 156 172 358 202
D I 1 -5 172 125 141 -31
I N -2 2 125 141 218 93
N G 1 1 141 156 109 -32
G Space -2 1 156 172 172 16
Space A 2 3 172 125 312 140
A L 0 -8 125 78 250 125
L L 0 0 78 140 156 78
L Space -2 5 140 187 218 78
Space O 3 -5 187 140 624 437
O F -1 5 140 172 265 125
F Space -2 0 172 187 3027 2855
Space T 3 -1 187 156 218 31
T H -1 -1 156 125 140 -16
H E 1 3 125 124 110 -15
E Space -3 -1 124 109 140 16
Space M 1 -3 109 203 218 109
M O 2 -2 203 141 125 -78
O N -2 3 141 172 265 124
N E 2 3 172 172 156 -16
E Y 0 -3 172 172 312 140
Y Space -3 2 172 140 94 -78
Space M 1 -3 140 125 546 406
M Y 2 1 125 140 250 125
Y Space -3 2 140 124 78 -62
Space P 3 -6 124 156 280 156
P A -1 9 156 156 141 -15
A R 1 -3 156 187 140 -16
R E 0 1 187 171 63 -124
E N -2 -3 171 156 296 125
N T 2 1 156 187 889 733
T S -1 3 187 172 967 780
S Space -2 -2 172 156 312 140
Space H 2 -2 156 124 578 422
H A 0 5 124 187 93 -31
A D 0 -2 187 140 141 -46
D Space -2 -1 140 156 156 16
Space S 2 2 156 203 3135 2979
S A 0 1 203 156 94 -109
A V -1 -3 156 171 281 125
V E 2 1 171 141 93 -78
E D -1 0 141 140 718 577
D Space -2 -1 140 187 281 141
Space T 3 -1 187 156 327 140
T H -1 -1 156 156 203 47
H E 1 3 156 172 156 0
E I 0 -5 172 125 312 140
I R 0 4 125 156 94 -31
R Space -3 0 156 156 171 15
Space E 3 1 156 156 250 94
E N -2 -3 156 141 296 140
N T 2 1 141 156 187 46
T I 0 -3 156 110 234 78
I R 0 4 110 172 78 -32
R E 0 1 172 156 94 -78
E Space -3 -1 156 78 250 94
Space L 2 -5 78 125 140 62
L I 1 1 125 109 203 78
I F -1 4 109 156 156 47
F E 1 1 156 140 78 -78
E Oemcomma -2 -5 140 140 343 203
Oemcomma Back 3 -5 140 140 983 843
Back OemPeriod -3 4 140 93 390 250
OemPeriod Space -1 5 93 172 1388 1295
Space LShiftKey 1 4 172 405 172 0
LShiftKey S 1 -2 405 156 296 -109
S O 1 -7 156 171 219 63
O Space -3 5 171 156 109 -62
Space LShiftKey 1 4 156 219 374 218
LShiftKey I 2 -8 219 187 125 -94
I Space -3 4 187 156 125 -62
Space D 2 1 156 202 203 47
D E 1 0 202 156 124 -78
E C -2 0 156 140 344 188
C I 2 -5 140 124 156 16
I D -1 5 124 171 156 32
D E 1 0 171 140 109 -62
E D -1 0 140 156 171 31
D Space -2 -1 156 140 266 110
Space T 3 -1 140 156 140 0
T O 0 -4 156 218 125 -31
O Space -3 5 218 156 140 -78
Space D 2 1 156 187 624 468
D R 1 -1 187 140 406 219
R O 0 -5 140 187 265 125
O P 0 -1 187 202 94 -93
P Space -3 6 202 140 187 -15
Space O 3 -5 140 171 203 63
O U 0 2 171 156 639 468
U T 0 2 156 172 203 47
T Space -3 1 172 156 7706 7534
Space A 2 3 156 140 172 16
A N -1 -5 140 141 109 -31
N D 1 3 141 171 141 0
D Space -2 -1 171 156 140 -31
Space T 3 -1 156 156 172 16
T R 0 1 156 140 234 78
R U 0 -3 140 125 202 62
U S -1 5 125 140 110 -15
S T 1 -3 140 109 234 94
T Space -3 1 109 172 93 -16
Space T 3 -1 172 124 141 -31
T H -1 -1 124 125 109 -15
H A 0 5 125 140 109 -16
A T 1 -4 140 94 78 -62
T Space -3 1 94 125 78 -16
Space I 3 -4 125 125 187 62
I T 0 3 125 141 109 -16
T Space -3 1 141 141 125 -16
Space W 3 2 141 125 250 109
W O 0 -7 125 110 93 -32
O U 0 2 110 78 188 78
U L -1 -2 78 109 187 109
L D 0 6 109 125 93 -16
D Space -2 -1 125 125 141 16
Space W 3 2 125 172 265 140
W O 0 -7 172 140 203 31
O R 0 5 140 156 671 531
R K -1 -4 156 156 296 140
K Back 2 -5 156 93 1264 1108
Back Back 0 0 93 124 156 63
Back Back 0 0 124 109 187 63
Back Back 0 0 109 125 156 47
Back Back 0 0 125 140 203 78
Back Space -4 9 140 156 390 250
Space A 2 3 156 141 202 46
A L 0 -8 141 78 94 -47
L L 0 0 78 125 156 78
L Space -2 5 125 156 62 -63
Space W 3 2 156 141 125 -31
W O 0 -7 141 140 141 0
O R 0 5 140 140 312 172
R K -1 -4 140 172 140 0
K Space -2 4 172 109 125 -47
Space O 3 -5 109 156 171 62
O U 0 2 156 140 250 94
U T 0 2 140 156 952 812
T Space -3 1 156 156 218 62
Space LShiftKey 1 4 156 561 203 47
LShiftKey O 2 -9 561 109 203 -358
O K -1 1 109 78 187 78
K OemPeriod -1 -1 78 109 359 281
OemPeriod Space -1 5 109 109 249 140
Space LShiftKey 1 4 109 998 1919 1810
LShiftKey I 2 -8 998 140 905 -93
I T 0 3 140 141 218 78
T Space -3 1 141 172 125 -16
Space W 3 2 172 187 156 -16
W A -1 1 187 156 125 -62
A S 0 -1 156 124 203 47
S Space -2 -2 124 110 124 0
Space P 3 -6 110 140 344 234
P R 0 6 140 156 156 16
R E 0 1 156 140 140 -16
E T 0 -2 140 125 312 172
T T 0 0 125 125 187 62
T Y 0 -1 125 140 63 -62
Y Space -3 2 140 124 78 -62
Space S 2 2 124 156 156 32
S C -1 -1 156 156 218 62
C A 1 2 156 125 109 -47
A R 1 -3 125 94 234 109
R Y 0 -2 94 125 265 171
Y Space -3 2 125 125 125 0
Space A 2 3 125 125 187 62
A T 1 -4 125 125 141 16
T Space -3 1 125 140 125 0
Space T 3 -1 140 141 93 -47
T H -1 -1 141 109 125 -16
H A 0 5 109 125 78 -31
A T 1 -4 125 94 78 -47
T Space -3 1 94 172 234 140
Space T 3 -1 172 140 359 187
T I 0 -3 140 93 156 16
I N -2 2 93 93 203 110
N E 2 3 93 156 62 -31
E Oemcomma -2 -5 156 93 3370 3214
Oemcomma Back 3 -5 93 109 468 375
Back Back 0 0 109 94 171 62
Back Back 0 0 94 109 156 62
Back M -3 6 109 94 827 718
M E 2 4 94 156 250 156
E Oemcomma -2 -5 156 110 358 202
Oemcomma Space -1 4 110 141 203 93
Space B 1 -1 141 125 546 405
B U 2 -2 125 125 187 62
U T 0 2 125 109 172 47
T Space -3 1 109 140 125 16
Space L 2 -5 140 125 265 125
L O 1 0 125 94 187 62
O O 0 0 94 93 141 47
O K -1 1 93 93 187 94
K I 1 0 93 94 140 47
I N -2 2 94 109 203 109
N G 1 1 109 140 328 219
G Space -2 1 140 171 156 16
Space B 1 -1 171 140 468 297
B A 1 4 140 172 62 -78
A C -1 -2 172 156 967 795
C K 1 -5 156 187 78 -78
K Space -2 4 187 141 109 -78
Space Oemcomma 1 -4 141 94 5195 5054
Oemcomma Space -1 4 94 125 187 93
Space I 3 -4 125 140 172 47
I T 0 3 140 125 140 0
T Space -3 1 125 140 94 -31
Space W 3 2 140 156 172 32
W A -1 1 156 171 78 -78
A S 0 -1 171 125 202 31
S Space -2 -2 125 141 125 0
Space O 3 -5 141 110 187 46
O N -2 3 110 110 234 124
N E 2 3 110 140 110 0
E Space -3 -1 140 140 109 -31
Space O 3 -5 140 125 234 94
O F -1 5 125 140 359 234
F Space -2 0 140 140 156 16
Space T 3 -1 140 125 109 -31
T H -1 -1 125 140 109 -16
H E 1 3 140 125 125 -15
E Space -3 -1 125 156 109 -16
Space B 1 -1 156 156 842 686
B E 2 2 156 140 219 63
E D -1 0 140 125 249 109
D T 1 -2 125 156 234 109
T Space -3 1 156 125 203 47
Space F 2 0 125 187 234 109
F Back 2 -9 187 156 375 188
Back D -2 10 156 203 109 -47
D E 1 0 203 140 109 -94
E Back 1 -10 140 109 390 250
Back Back 0 0 109 94 156 47
Back Back 0 0 94 78 172 78
Back Back 0 0 78 94 140 62
Back Back 0 0 94 125 156 62
Back S -2 11 125 218 250 125
S E 1 -1 218 156 327 109
E Back 1 -10 156 156 297 141
Back T -1 8 156 125 140 -16
T Space -3 1 125 156 218 93
Space D 2 1 156 187 281 125
D E 1 0 187 156 109 -78
E C -2 0 156 125 234 78
C I 2 -5 125 125 203 78
I S -1 6 125 124 141 16
S I 1 -6 124 125 124 0
I O 0 -1 125 141 78 -47
O N -2 3 141 156 297 156
N S 1 4 156 141 171 15
S Space -2 -2 141 171 110 -31
Space LShiftKey 1 4 171 546 312 141
LShiftKey I 2 -8 546 140 374 -172
I Space -3 4 140 219 2059 1919
Space E 3 1 219 188 187 -32
E V -2 -1 188 171 266 78
V E 2 1 171 156 109 -62
E R 0 -1 156 141 171 15
R Space -3 0 141 125 141 0
Space M 1 -3 125 156 156 31
M A 1 6 156 156 93 -63
A D 0 -2 156 203 203 47
D E 1 0 203 187 125 -78
E W 0 1 187 156 16 -171
W Back 1 -11 156 94 795 639
Back Back 0 0 94 140 172 78
Back E -1 10 140 141 639 499
E OemPeriod -2 -6 141 94 390 249
OemPeriod Space -1 5 94 156 921 827
Space LShiftKey 1 4 156 1123 1404 1248
LShiftKey T 2 -5 1123 141 998 -125
T H -1 -1 141 109 250 109
H E 1 3 109 140 78 -31
E Space -3 -1 140 140 187 47
Space M 1 -3 140 219 265 125
M I 2 -1 219 156 141 -78
I N -2 2 156 156 296 140
N U 2 -1 156 156 203 47
U T 0 2 156 219 296 140
T E 0 2 219 156 109 -110
E Space -3 -1 156 156 406 250
Space LShiftKey 1 4 156 219 296 140
LShiftKey I 2 -8 219 140 94 -125
I Space -3 4 140 187 78 -62
Space T 3 -1 187 172 234 47
T Back 1 -8 172 171 406 234
Back D -2 10 171 171 156 -15
D R 1 -1 171 140 780 609
R O 0 -5 140 187 187 47
O P 0 -1 187 125 93 -94
P P 0 0 125 124 188 63
P E 0 7 124 172 93 -31
E D -1 0 172 140 281 109
D Space -2 -1 140 156 125 -15
Space O 3 -5 156 109 218 62
O U 0 2 109 110 187 78
U T 0 2 110 156 125 15
T Oemcomma -2 -3 156 78 499 343
Oemcomma Space -1 4 78 125 156 78
Space LShiftKey 1 4 125 343 63 -62
LShiftKey I 2 -8 343 188 171 -172
I Space -3 4 188 140 141 -47
Space Back 4 -9 140 125 1965 1825
Back Back 0 0 125 140 188 63
Back Back 0 0 140 109 1310 1170
Back Back 0 0 109 47 203 94
Back Space -4 9 47 156 624 577
Space LShiftKey 1 4 156 234 93 -63
LShiftKey I 2 -8 234 156 125 -109
I Space -3 4 156 156 1420 1264
Space C 1 1 156 172 249 93
C O 2 -6 172 109 172 0
O U 0 2 109 109 187 78
U L -1 -2 109 109 203 94
L D 0 6 109 156 125 16
D Space -2 -1 156 156 109 -47
Space S 2 2 156 171 172 16
S T 1 -3 171 124 390 219
T O 0 -4 124 187 234 110
O P 0 -1 187 187 93 -94
P Space -3 6 187 141 109 -78
Space T 3 -1 141 234 234 93
T A -1 4 234 15 219 -15
A K 0 -7 15 109 109 94
K I 1 0 109 124 172 63
I N -2 2 124 125 202 78
N G 1 1 125 172 94 -31
G Space -2 1 172 172 842 670
Space T 3 -1 172 140 297 125
T H -1 -1 140 140 156 16
H E 1 3 140 156 109 -31
E Space -3 -1 156 141 187 31
Space R 3 0 141 156 141 0
R E 0 1 156 124 78 -78
E Q 0 2 124 109 234 110
Q U 0 -6 109 109 156 47
U I 0 -1 109 125 187 78
I R 0 4 125 203 93 -32
R E 0 1 203 156 78 -125
E D -1 0 156 141 281 125
D Space -2 -1 141 125 172 31
Space C 1 1 125 172 218 93
C L 1 -6 172 172 421 249
L A 0 8 172 156 125 -47
A S 0 -1 156 125 172 16
S S 0 0 125 156 187 62
S E 1 -1 156 187 172 16
E S -1 1 187 125 93 -94
S Space -2 -2 125 156 219 94
Space T 3 -1 156 156 156 0
T H -1 -1 156 172 140 -16
H A 0 5 172 203 156 -16
A T 1 -4 203 171 125 -78
T Space -3 1 171 156 327 156
Space D 2 1 156 156 359 203
D I 1 -5 156 156 390 234
I D -1 5 156 140 172 16
D N -1 -3 140 94 296 156
N Oem7 1 -5 94 125 546 452
Oem7 T 1 6 125 156 188 63
T Space -3 1 156 140 140 -16
Space I 3 -4 140 125 187 47
I N -2 2 125 125 203 78
N T 2 1 125 187 109 -16
T E 0 2 187 171 94 -93
E R 0 -1 171 202 203 32
R E 0 1 202 140 78 -124
E S -1 1 140 140 234 94
S T 1 -3 140 140 218 78
T Space -3 1 140 125 140 0
Space M 1 -3 125 109 219 94
M E 2 4 109 187 62 -47
E Oemcomma -2 -5 187 94 2340 2153
Oemcomma Space -1 4 94 110 187 93
Space A 2 3 110 156 94 -16
A N -1 -5 156 140 94 -62
N D 1 3 140 156 124 -16
D Space -2 -1 156 124 110 -46
Space B 1 -1 124 188 670 546
B E 2 2 188 156 141 -47
E R 0 -1 156 78 31 -125
R G -1 -1 78 156 842 764
G I 1 -3 156 109 94 -62
I N -2 2 109 125 203 94
N Back 3 -7 125 125 624 499
Back Back 0 0 125 110 171 46
Back Back 0 0 110 125 156 46
Back Back 0 0 125 125 297 172
Back G -2 8 125 171 593 468
G I 1 -3 171 156 140 -31
I N -2 2 156 172 499 343
N Space -1 2 172 140 141 -31
Space D 2 1 140 140 1669 1529
D R 1 -1 140 125 249 109
R O 0 -5 125 140 344 219
O P 0 -1 140 94 218 78
P P 0 0 94 110 140 46
P I 0 2 110 140 141 31
I N -2 2 140 125 561 421
N G 1 1 125 156 250 125
G Space -2 1 156 172 109 -47
Space I 3 -4 172 140 172 0
I N -2 2 140 234 624 484
N Space -1 2 234 172 140 -94
Space O 3 -5 172 125 702 530
O N -2 3 125 156 234 109
N Space -1 2 156 156 94 -62
Space T 3 -1 156 156 140 -16
T H -1 -1 156 125 125 -31
H E 1 3 125 171 94 -31
E Space -3 -1 171 94 124 -47
Space O 3 -5 94 156 203 109
O N -2 3 156 125 312 156
N E 2 3 125 156 265 140
E S -1 1 156 172 468 312
S Space -2 -2 172 187 999 827
Space T 3 -1 187 171 203 16
T H -1 -1 171 140 140 -31
H A 0 5 140 140 78 -62
A T 1 -4 140 125 62 -78
T Space -3 1 125 140 94 -31
Space L 2 -5 140 93 203 63
L O 1 0 93 109 156 63
O O 0 0 109 93 156 47
O K -1 1 93 109 156 63
K E 1 5 109 156 62 -47
E Space -3 -1 156 171 172 16
Space Back 4 -9 171 156 1326 1155
Back D -2 10 156 125 109 -47
D Space -2 -1 125 156 203 78
Space I 3 -4 156 109 312 156
I N -2 2 109 109 187 78
N T 2 1 109 171 47 -62
T E 0 2 171 141 93 -78
E R 0 -1 141 172 172 31
R E 0 1 172 140 78 -94
E S -1 1 140 156 218 78
S T 1 -3 156 140 219 63
T I 0 -3 140 93 203 63
I N -2 2 93 94 202 109
N G 1 1 94 125 63 -31
G OemPeriod -1 -4 125 93 1139 1014
OemPeriod Return 1 -3 93 93 577 484
Return LShiftKey -1 12 93 452 4103 4010
LShiftKey I 2 -8 452 141 280 -172
I T 0 3 141 140 297 156
T Space -3 1 140 140 125 -15
Space W 3 2 140 203 124 -16
W A -1 1 203 156 94 -109
A S 0 -1 156 140 234 78
S N -1 -4 140 109 250 110
N Oem7 1 -5 109 110 358 249
Oem7 T 1 6 110 141 156 46
T Space -3 1 141 141 125 -16
Space A 2 3 141 140 125 -16
A L 0 -8 140 109 125 -15
L L 0 0 109 109 218 109
L Space -2 5 109 156 47 -62
Space R 3 0 156 140 640 484
R O 0 -5 140 93 187 47
O M -2 2 93 141 218 125
M A 1 6 141 171 141 0
A N -1 -5 171 109 296 125
N T 2 1 109 140 250 141
T I 0 -3 140 93 156 16
I C -2 5 93 156 265 172
C OemPeriod 0 -6 156 110 795 639
OemPeriod Space -1 5 110 140 219 109
Space LShiftKey 1 4 140 390 93 -47
LShiftKey I 2 -8 390 140 266 -124
I Space -3 4 140 141 202 62
Space D 2 1 141 110 156 15
D I 1 -5 110 124 110 0
I D -1 5 124 109 109 -15
D N -1 -3 109 110 93 -16
N Oem7 1 -5 110 140 484 374
Oem7 T 1 6 140 156 172 32
T Space -3 1 156 140 109 -47
Space H 2 -2 140 124 905 765
H A 0 5 124 140 62 -62
A V -1 -3 140 187 546 406
V E 2 1 187 140 94 -93
E Space -3 -1 140 203 187 47
Space A 2 3 203 141 249 46
A Space -2 -3 141 141 156 15
Space D 2 1 141 140 874 733
D O 1 -6 140 140 156 16
O R 0 5 140 156 203 63
R M -2 -3 156 234 187 31
M Space -1 3 234 125 156 -78
Space R 3 0 125 140 281 156
R O 0 -5 140 109 187 47
O O 0 0 109 109 156 47
O M -2 2 109 250 234 125
M Space -1 3 250 156 172 -78
Space Back 4 -9 156 141 436 280
Back Oemcomma -3 5 141 110 390 249
Oemcomma Space -1 4 110 125 219 109
Space S 2 2 125 156 515 390
S O 1 -7 156 141 124 -32
O Space -3 5 141 141 78 -63
Space LShiftKey 1 4 141 187 281 140
LShiftKey I 2 -8 187 172 78 -109
I Space -3 4 172 125 94 -78
Space S 2 2 125 156 234 109
S L 0 -7 156 110 171 15
L E 1 6 110 172 156 46
E P 0 -7 172 156 281 109
P T 0 5 156 140 281 125
T Space -3 1 140 172 6708 6568
Space O 3 -5 172 109 156 -16
O N -2 3 109 187 250 141
N Space -1 2 187 140 109 -78
Space T 3 -1 140 172 93 -47
T H -1 -1 172 125 125 -47
H E 1 3 125 171 94 -31
E Space -3 -1 171 140 109 -62
Space F 2 0 140 156 250 110
F L 0 -5 156 156 296 140
L O 1 0 156 93 250 94
O O 0 0 93 156 156 63
O R 0 5 156 171 1794 1638
R Space -3 0 171 203 249 78
Space I 3 -4 203 140 250 47
I N -2 2 140 171 281 141
N Space -1 2 171 140 109 -62
Space F 2 0 140 202 593 453
F R 1 0 202 156 93 -109
R I 0 -4 156 140 203 47
I E 0 5 140 156 140 0
E N -2 -3 156 125 156 0
N D 1 3 125 156 266 141
D S 0 1 156 125 514 358
S Oem7 0 -9 125 78 266 141
Oem7 Space -2 7 78 141 592 514
Space R 3 0 141 141 468 327
R O 0 -5 141 94 172 31
O O 0 0 94 125 140 46
O M -2 2 125 156 266 141
M S 1 5 156 156 156 0
S Oemcomma -1 -6 156 109 717 561
Oemcomma Space -1 4 109 124 219 110
Space LShiftKey 1 4 124 234 46 -78
LShiftKey I 2 -8 234 141 156 -78
I Space -3 4 141 140 94 -47
Space R 3 0 140 187 156 16
R E 0 1 187 156 109 -78
E T 0 -2 156 156 343 187
T U 0 -2 156 125 234 78
U R 0 3 125 171 141 16
